;ThermoPair mV, T approx comp, T approx controller
51.325, 1269.46, 1269.19
51.506, 1274.59, 1274.19
51.687, 1279.72, 1279.13
51.868, 1284.86, 1284.25
52.049, 1290, 1289.25
52.23, 1295.19, 1294.19
52.411, 1300.37, 1299.31
52.592, 1305.56, 1304.25
52.773, 1310.74, 1309.25
52.954, 1315.93, 1314.38
53.135, 1321.12, 1319.31
53.316, 1326.3, 1324.31
53.497, 1331.49, 1329.44
53.678, 1336.68, 1334.38
53.859, 1341.86, 1170.44
54.04, 1347.05, 1175.5
54.221, 1352.23, 1180.5
54.402, 1357.42, 1185.5
54.583, 1362.61, 1190.56
54.764, 1367.79, 1195.56
54.945, 1372.98, 1200.56
55.126, 1378.17, 1205.63
55.307, 1383.35, 1210.63
55.488, 1388.54, 1215.63
55.669, 1393.72, 1220.69
55.85, 1398.91, 1225.69
56.031, 1404.1, 1230.63
56.212, 1409.28, 1235.75
56.393, 1414.47, 1240.75
56.574, 1419.66, 1245.69
56.755, 1424.84, 1250.81
56.936, 1430.03, 1255.69
57.117, 1435.21, 1260.69
57.298, 1440.4, 1265.81
57.479, 1445.59, 1270.75
57.66, 1450.77, 1275.75
